Day     Original        Retweet
2018-09-05      4561    11572
2018-09-06      5343    11544
2018-09-07      4888    15255
2018-09-08      6880    28265
2018-09-09      15854   58003
2018-09-10      73544   240334
2018-09-11      98266   395303
2018-09-12      144243  614556
2018-09-13      140236  532456
2018-09-14      131108  653937
2018-09-15      56955   420345
2018-09-16      38278   250365
2018-09-17      41291   219384
2018-09-18      31482   150433
2018-09-19      28759   130240
2018-09-20      17957   71439
2018-09-21      13135   67459
2018-09-22      8297    40354
2018-09-23      7806    27241
2018-09-24      9401    31264
2018-09-25      7604    20807
2018-09-26      6473    18598
2018-09-27      4724    11444
2018-09-28      4029    10236
2018-09-29      2613    7150
2018-09-30      2091    5553
2018-10-01      3312    6061
2018-10-02      3774    7654
2018-10-03      367     1052
